source,date,away,home,matched,game_id,match_method,status,rows
Massey Games,2026-09-05,Murray St,MTSU,True,g59,exact,,
Massey Games,2026-09-05,Sam Houston St,Troy,True,g88,exact,,
Massey Games,2026-09-05,Louisville,Mississippi,True,g98,date_tolerance,,
Massey Games,2026-09-05,Clemson,LSU,True,g52,exact,,
Massey Games,2026-09-05,W Michigan,Michigan,True,g57,exact,,
Massey Games,2026-09-05,ULM,Mississippi St,True,g60,exact,,
Massey Games,2026-09-05,VMI,Virginia Tech,True,g94,exact,,
Massey Games,2026-09-05,Northwestern LA,Louisiana Tech,True,g54,exact,,
Massey Games,2026-09-05,FL Atlantic,Florida,True,g39,exact,,
Massey Games,2026-09-05,Utah Tech,BYU,True,g31,exact,,
Massey Games,2026-09-05,Toledo,Michigan St,True,g58,exact,,
Massey Games,2026-09-05,Ark Pine Bluff,Missouri,False,,unmatched,,
Massey Games,2026-09-05,S Dakota St,Northwestern,True,g67,exact,,
Massey Games,2026-09-05,Lamar,Louisiana,True,g53,exact,,
Massey Games,2026-09-05,Hampton,Maryland,True,g55,exact,,
Massey Games,2026-09-05,Morgan St,Arizona St,True,g27,exact,,
Massey Games,2026-09-05,Fresno St,USC,True,g90,exact,,
Massey Games,2026-09-05,Mercyhurst,New Mexico St,True,g65,exact,,
Massey Games,2026-09-05,Northern Arizona,Arizona,True,g26,exact,,
Massey Games,2026-09-05,Portland St,San Diego St,True,g77,exact,,
Massey Games,2026-09-05,MS Valley St,CS Sacramento,False,,unmatched,,
Massey Games,2026-09-05,UNLV,Hawaii,True,g42,exact,,
Massey Games,2026-09-05,C Michigan,New Mexico,True,g64,exact,,
Massey Games,2026-09-05,UCLA,California,True,g33,exact,,
Massey Games,2026-09-05,WKU,Nevada,True,g63,exact,,
Massey Games,2026-09-06,Notre Dame,Wisconsin,True,g97,neutral_reversed,,
Massey Games,2026-09-07,SMU,Florida St,True,g99,exact,,
Massey Games,2026-09-03,Massachusetts,Rutgers,True,g16,exact,,
Massey Games,2026-09-03,Bethune-Cookman,UCF,True,g10,exact,,
Massey Games,2026-09-03,Akron,Wake Forest,True,g18,exact,,
Massey Games,2026-09-03,SUNY Albany,Buffalo,False,,unmatched,,
Massey Games,2026-09-03,West Georgia,Kennesaw,True,g13,exact,,
Massey Games,2026-09-03,Colorado,Georgia Tech,True,g12,exact,,
Massey Games,2026-09-03,E Illinois,Minnesota,True,g14,exact,,
Massey Games,2026-09-03,Idaho,Utah,True,g17,exact,,
Massey Games,2026-09-03,UAB,Illinois,True,g44,exact,,
Massey Games,2026-09-04,LIU Post,Kansas,False,,unmatched,,
Massey Games,2026-09-04,UTEP,Oklahoma,True,g69,date_tolerance,,
Massey Games,2026-09-04,Miami FL,Stanford,True,g22,exact,,
Massey Games,2026-09-05,East Carolina,Alabama,True,g24,exact,,
Massey Games,2026-09-05,Bryant,Army,True,g29,exact,,
Massey Games,2026-09-05,Lafayette,Connecticut,True,g37,exact,,
Massey Games,2026-09-05,Oregon St,Houston,True,g43,exact,,
Massey Games,2026-09-05,North Texas,Indiana,True,g45,exact,,
Massey Games,2026-09-05,Ohio,Nebraska,True,g62,exact,,
Massey Games,2026-09-05,Miami OH,Pittsburgh,True,g73,exact,,
Massey Games,2026-09-05,New Hampshire,Syracuse,True,g82,exact,,
Massey Games,2026-09-05,Coastal Car,West Virginia,True,g96,exact,,
Massey Games,2026-09-05,Tarleton St,Bowling Green,True,g32,exact,,
Massey Games,2026-09-05,Liberty,James Madison,True,g48,exact,,
Massey Games,2026-09-05,Ball St,Ohio St,True,g68,exact,,
Massey Games,2026-09-05,Kent,South Carolina,True,g79,exact,,
Massey Games,2026-09-05,SE Missouri St,Iowa St,False,,unmatched,,
Massey Games,2026-09-05,Youngstown St,Kentucky,True,g51,exact,,
Massey Games,2026-09-05,Duquesne,Air Force,True,g23,exact,,
Massey Games,2026-09-05,Rhode Island,Temple,True,g83,exact,,
Massey Games,2026-09-05,Tennessee St,Georgia,True,g40,exact,,
Massey Games,2026-09-05,Baylor,Auburn,True,g30,exact,,
Massey Games,2026-09-05,Citadel,Charlotte,False,,unmatched,,
Massey Games,2026-09-05,Boston College,Cincinnati,True,g35,exact,,
Massey Games,2026-09-05,Tulane,Duke,True,g38,exact,,
Massey Games,2026-09-05,Towson,Navy,True,g61,exact,,
Massey Games,2026-09-05,Boise St,Oregon,True,g71,exact,,
Massey Games,2026-09-05,Marshall,Penn St,True,g72,exact,,
Massey Games,2026-09-05,Furman,Tennessee,True,g84,exact,,
Massey Games,2026-09-05,Texas St,Texas,True,g85,exact,,
Massey Games,2026-09-05,UTRGV,UT San Antonio,True,g91,exact,,
Massey Games,2026-09-05,Fordham,N Dakota St,True,g66,exact,,
Massey Games,2026-09-05,Maine,Appalachian St,True,g25,exact,,
Massey Games,2026-09-05,Oklahoma St,Tulsa,True,g89,exact,,
Massey Games,2026-09-05,Washington St,Washington,True,g95,exact,,
Massey Games,2026-09-05,North Alabama,Arkansas,True,g28,exact,,
Massey Games,2026-09-05,N Illinois,Iowa,True,g46,exact,,
Massey Games,2026-09-05,Alcorn St,Southern Miss,True,g81,exact,,
Massey Games,2026-09-05,Wyoming,Colorado St,True,g36,exact,,
Massey Games,2026-09-05,Norfolk St,Old Dominion,True,g70,exact,,
Massey Games,2026-09-05,San Jose St,E Michigan,True,g19,date_tolerance,,
Massey Games,2026-09-05,Nicholls St,Kansas St,False,,unmatched,,
Massey Games,2026-09-05,Arkansas St,Memphis,True,g56,exact,,
Massey Games,2026-09-05,Indiana St,Purdue,True,g74,exact,,
Massey Games,2026-09-05,Houston Chr,Rice,False,,unmatched,,
Massey Games,2026-09-05,Florida Intl,South Florida,True,g80,exact,,
Massey Games,2026-09-05,Missouri St,Texas A&M,True,g86,exact,,
Massey Games,2026-09-05,Abilene Chr,Texas Tech,False,,unmatched,,
Massey Games,2026-09-05,Idaho St,Utah St,True,g92,exact,,
Massey Games,2026-09-05,Austin Peay,Vanderbilt,True,g93,exact,,
Massey Games,2026-09-05,Charleston So,Ga Southern,True,g41,exact,,
Massey Games,2026-09-05,E Kentucky,Jacksonville St,True,g49,exact,,
Massey Games,2026-09-05,NC A&T,Georgia St,True,g20,date_tolerance,,
Massey Games,2026-09-05,SE Louisiana,South Alabama,False,,unmatched,,
Massey Games,2026-09-05,Merrimack,Delaware,False,,unmatched,,
Massey Games,2026-09-05,Murray St,MTSU,True,g59,exact,,
Massey Games,2026-09-05,Sam Houston St,Troy,True,g88,exact,,
Massey Games,2026-09-05,Louisville,Mississippi,True,g98,date_tolerance,,
Massey Games,2026-09-05,Clemson,LSU,True,g52,exact,,
Massey Games,2026-09-05,W Michigan,Michigan,True,g57,exact,,
Massey Games,2026-09-05,ULM,Mississippi St,True,g60,exact,,
Massey Games,2026-09-05,VMI,Virginia Tech,True,g94,exact,,
Massey Games,2026-09-05,Northwestern LA,Louisiana Tech,True,g54,exact,,
Massey Games,2026-09-05,FL Atlantic,Florida,True,g39,exact,,
Massey Games,2026-09-05,Utah Tech,BYU,True,g31,exact,,
Massey Games,2026-09-05,Toledo,Michigan St,True,g58,exact,,
Massey Games,2026-09-05,Ark Pine Bluff,Missouri,False,,unmatched,,
Massey Games,2026-09-05,S Dakota St,Northwestern,True,g67,exact,,
Massey Games,2026-09-05,Lamar,Louisiana,True,g53,exact,,
Massey Games,2026-09-05,Hampton,Maryland,True,g55,exact,,
Massey Games,2026-09-05,Morgan St,Arizona St,True,g27,exact,,
Massey Games,2026-09-05,Fresno St,USC,True,g90,exact,,
Massey Games,2026-09-05,Mercyhurst,New Mexico St,True,g65,exact,,
Massey Games,2026-09-05,Northern Arizona,Arizona,True,g26,exact,,
Massey Games,2026-09-05,Portland St,San Diego St,True,g77,exact,,
Massey Games,2026-09-05,MS Valley St,CS Sacramento,False,,unmatched,,
Massey Games,2026-09-05,UNLV,Hawaii,True,g42,exact,,
Massey Games,2026-09-05,C Michigan,New Mexico,True,g64,exact,,
Massey Games,2026-09-05,UCLA,California,True,g33,exact,,
Massey Games,2026-09-05,WKU,Nevada,True,g63,exact,,
Massey Games,2026-09-06,Notre Dame,Wisconsin,True,g97,neutral_reversed,,
Massey Games,2026-09-07,SMU,Florida St,True,g99,exact,,
Massey Games,2026-09-03,Massachusetts,Rutgers,True,g16,exact,,
Massey Games,2026-09-03,Bethune-Cookman,UCF,True,g10,exact,,
Massey Games,2026-09-03,Akron,Wake Forest,True,g18,exact,,
Massey Games,2026-09-03,SUNY Albany,Buffalo,False,,unmatched,,
Massey Games,2026-09-03,West Georgia,Kennesaw,True,g13,exact,,
Massey Games,2026-09-03,Colorado,Georgia Tech,True,g12,exact,,
Massey Games,2026-09-03,E Illinois,Minnesota,True,g14,exact,,
Massey Games,2026-09-03,Idaho,Utah,True,g17,exact,,
Massey Games,2026-09-03,UAB,Illinois,True,g44,exact,,
Massey Games,2026-09-04,LIU Post,Kansas,False,,unmatched,,
Massey Games,2026-09-04,UTEP,Oklahoma,True,g69,date_tolerance,,
Massey Games,2026-09-04,Miami FL,Stanford,True,g22,exact,,
Massey Games,2026-09-05,East Carolina,Alabama,True,g24,exact,,
Massey Games,2026-09-05,Bryant,Army,True,g29,exact,,
Massey Games,2026-09-05,Lafayette,Connecticut,True,g37,exact,,
Massey Games,2026-09-05,Oregon St,Houston,True,g43,exact,,
Massey Games,2026-09-05,North Texas,Indiana,True,g45,exact,,
Massey Games,2026-09-05,Ohio,Nebraska,True,g62,exact,,
Massey Games,2026-09-05,Miami OH,Pittsburgh,True,g73,exact,,
Massey Games,2026-09-05,New Hampshire,Syracuse,True,g82,exact,,
Massey Games,2026-09-05,Coastal Car,West Virginia,True,g96,exact,,
Massey Games,2026-09-05,Tarleton St,Bowling Green,True,g32,exact,,
Massey Games,2026-09-05,Liberty,James Madison,True,g48,exact,,
Massey Games,2026-09-05,Ball St,Ohio St,True,g68,exact,,
Massey Games,2026-09-05,Kent,South Carolina,True,g79,exact,,
Massey Games,2026-09-05,SE Missouri St,Iowa St,False,,unmatched,,
Massey Games,2026-09-05,Youngstown St,Kentucky,True,g51,exact,,
Massey Games,2026-09-05,Duquesne,Air Force,True,g23,exact,,
Massey Games,2026-09-05,Rhode Island,Temple,True,g83,exact,,
Massey Games,2026-09-05,Tennessee St,Georgia,True,g40,exact,,
Massey Games,2026-09-05,Baylor,Auburn,True,g30,exact,,
Massey Games,2026-09-05,Citadel,Charlotte,False,,unmatched,,
Massey Games,2026-09-05,Boston College,Cincinnati,True,g35,exact,,
Massey Games,2026-09-05,Tulane,Duke,True,g38,exact,,
Massey Games,2026-09-05,Towson,Navy,True,g61,exact,,
Massey Games,2026-09-05,Boise St,Oregon,True,g71,exact,,
Massey Games,2026-09-05,Marshall,Penn St,True,g72,exact,,
Massey Games,2026-09-05,Furman,Tennessee,True,g84,exact,,
Massey Games,2026-09-05,Texas St,Texas,True,g85,exact,,
Massey Games,2026-09-05,UTRGV,UT San Antonio,True,g91,exact,,
Massey Games,2026-09-05,Fordham,N Dakota St,True,g66,exact,,
Massey Games,2026-09-05,Maine,Appalachian St,True,g25,exact,,
Massey Games,2026-09-05,Oklahoma St,Tulsa,True,g89,exact,,
Massey Games,2026-09-05,Washington St,Washington,True,g95,exact,,
Massey Games,2026-09-05,North Alabama,Arkansas,True,g28,exact,,
Massey Games,2026-09-05,N Illinois,Iowa,True,g46,exact,,
Massey Games,2026-09-05,Alcorn St,Southern Miss,True,g81,exact,,
Massey Games,2026-09-05,Wyoming,Colorado St,True,g36,exact,,
Massey Games,2026-09-05,Norfolk St,Old Dominion,True,g70,exact,,
Massey Games,2026-09-05,San Jose St,E Michigan,True,g19,date_tolerance,,
Massey Games,2026-09-05,Nicholls St,Kansas St,False,,unmatched,,
Massey Games,2026-09-05,Arkansas St,Memphis,True,g56,exact,,
Massey Games,2026-09-05,Indiana St,Purdue,True,g74,exact,,
Massey Games,2026-09-05,Houston Chr,Rice,False,,unmatched,,
Massey Games,2026-09-05,Florida Intl,South Florida,True,g80,exact,,
Massey Games,2026-09-05,Missouri St,Texas A&M,True,g86,exact,,
Massey Games,2026-09-05,Abilene Chr,Texas Tech,False,,unmatched,,
Massey Games,2026-09-05,Idaho St,Utah St,True,g92,exact,,
Massey Games,2026-09-05,Austin Peay,Vanderbilt,True,g93,exact,,
Massey Games,2026-09-05,Charleston So,Ga Southern,True,g41,exact,,
Massey Games,2026-09-05,E Kentucky,Jacksonville St,True,g49,exact,,
Massey Games,2026-09-05,NC A&T,Georgia St,True,g20,date_tolerance,,
Massey Games,2026-09-05,SE Louisiana,South Alabama,False,,unmatched,,
Massey Games,2026-09-05,Merrimack,Delaware,False,,unmatched,,
Massey Games,2026-09-05,Murray St,MTSU,True,g59,exact,,
Massey Games,2026-09-05,Sam Houston St,Troy,True,g88,exact,,
Massey Games,2026-09-05,Louisville,Mississippi,True,g98,date_tolerance,,
Massey Games,2026-09-05,Clemson,LSU,True,g52,exact,,
Massey Games,2026-09-05,W Michigan,Michigan,True,g57,exact,,
Massey Games,2026-09-05,ULM,Mississippi St,True,g60,exact,,
Massey Games,2026-09-05,VMI,Virginia Tech,True,g94,exact,,
Massey Games,2026-09-05,Northwestern LA,Louisiana Tech,True,g54,exact,,
Massey Games,2026-09-05,FL Atlantic,Florida,True,g39,exact,,
Massey Games,2026-09-05,Utah Tech,BYU,True,g31,exact,,
Massey Games,2026-09-05,Toledo,Michigan St,True,g58,exact,,
Massey Games,2026-09-05,Ark Pine Bluff,Missouri,False,,unmatched,,
Massey Games,2026-09-05,S Dakota St,Northwestern,True,g67,exact,,
Massey Games,2026-09-05,Lamar,Louisiana,True,g53,exact,,
Massey Games,2026-09-05,Hampton,Maryland,True,g55,exact,,
Massey Games,2026-09-05,Morgan St,Arizona St,True,g27,exact,,
Massey Games,2026-09-05,Fresno St,USC,True,g90,exact,,
Massey Games,2026-09-05,Mercyhurst,New Mexico St,True,g65,exact,,
Massey Games,2026-09-05,Northern Arizona,Arizona,True,g26,exact,,
Massey Games,2026-09-05,Portland St,San Diego St,True,g77,exact,,
Massey Games,2026-09-05,MS Valley St,CS Sacramento,False,,unmatched,,
Massey Games,2026-09-05,UNLV,Hawaii,True,g42,exact,,
Massey Games,2026-09-05,C Michigan,New Mexico,True,g64,exact,,
Massey Games,2026-09-05,UCLA,California,True,g33,exact,,
Massey Games,2026-09-05,WKU,Nevada,True,g63,exact,,
Massey Games,2026-09-06,Notre Dame,Wisconsin,True,g97,neutral_reversed,,
Massey Games,2026-09-07,SMU,Florida St,True,g99,exact,,
Massey Games,2026-09-03,Massachusetts,Rutgers,True,g16,exact,,
Massey Games,2026-09-03,Bethune-Cookman,UCF,True,g10,exact,,
Massey Games,2026-09-03,Akron,Wake Forest,True,g18,exact,,
Massey Games,2026-09-03,SUNY Albany,Buffalo,False,,unmatched,,
Massey Games,2026-09-03,West Georgia,Kennesaw,True,g13,exact,,
Massey Games,2026-09-03,Colorado,Georgia Tech,True,g12,exact,,
Massey Games,2026-09-03,E Illinois,Minnesota,True,g14,exact,,
Massey Games,2026-09-03,Idaho,Utah,True,g17,exact,,
Massey Games,2026-09-03,UAB,Illinois,True,g44,exact,,
Massey Games,2026-09-04,LIU Post,Kansas,False,,unmatched,,
Massey Games,2026-09-04,UTEP,Oklahoma,True,g69,date_tolerance,,
Massey Games,2026-09-04,Miami FL,Stanford,True,g22,exact,,
Massey Games,2026-09-05,East Carolina,Alabama,True,g24,exact,,
Massey Games,2026-09-05,Bryant,Army,True,g29,exact,,
Massey Games,2026-09-05,Lafayette,Connecticut,True,g37,exact,,
Massey Games,2026-09-05,Oregon St,Houston,True,g43,exact,,
Massey Games,2026-09-05,North Texas,Indiana,True,g45,exact,,
Massey Games,2026-09-05,Ohio,Nebraska,True,g62,exact,,
Massey Games,2026-09-05,Miami OH,Pittsburgh,True,g73,exact,,
Massey Games,2026-09-05,New Hampshire,Syracuse,True,g82,exact,,
Massey Games,2026-09-05,Coastal Car,West Virginia,True,g96,exact,,
Massey Games,2026-09-05,Tarleton St,Bowling Green,True,g32,exact,,
Massey Games,2026-09-05,Liberty,James Madison,True,g48,exact,,
Massey Games,2026-09-05,Ball St,Ohio St,True,g68,exact,,
Massey Games,2026-09-05,Kent,South Carolina,True,g79,exact,,
Massey Games,2026-09-05,SE Missouri St,Iowa St,False,,unmatched,,
Massey Games,2026-09-05,Youngstown St,Kentucky,True,g51,exact,,
Massey Games,2026-09-05,Duquesne,Air Force,True,g23,exact,,
Massey Games,2026-09-05,Rhode Island,Temple,True,g83,exact,,
Massey Games,2026-09-05,Tennessee St,Georgia,True,g40,exact,,
Massey Games,2026-09-05,Baylor,Auburn,True,g30,exact,,
Massey Games,2026-09-05,Citadel,Charlotte,False,,unmatched,,
Massey Games,2026-09-05,Boston College,Cincinnati,True,g35,exact,,
Massey Games,2026-09-05,Tulane,Duke,True,g38,exact,,
Massey Games,2026-09-05,Towson,Navy,True,g61,exact,,
Massey Games,2026-09-05,Boise St,Oregon,True,g71,exact,,
Massey Games,2026-09-05,Marshall,Penn St,True,g72,exact,,
Massey Games,2026-09-05,Furman,Tennessee,True,g84,exact,,
Massey Games,2026-09-05,Texas St,Texas,True,g85,exact,,
Massey Games,2026-09-05,UTRGV,UT San Antonio,True,g91,exact,,
Massey Games,2026-09-05,Fordham,N Dakota St,True,g66,exact,,
Massey Games,2026-09-05,Maine,Appalachian St,True,g25,exact,,
Massey Games,2026-09-05,Oklahoma St,Tulsa,True,g89,exact,,
Massey Games,2026-09-05,Washington St,Washington,True,g95,exact,,
Massey Games,2026-09-05,North Alabama,Arkansas,True,g28,exact,,
Massey Games,2026-09-05,N Illinois,Iowa,True,g46,exact,,
Massey Games,2026-09-05,Alcorn St,Southern Miss,True,g81,exact,,
Massey Games,2026-09-05,Wyoming,Colorado St,True,g36,exact,,
Massey Games,2026-09-05,Norfolk St,Old Dominion,True,g70,exact,,
Massey Games,2026-09-05,San Jose St,E Michigan,True,g19,date_tolerance,,
Massey Games,2026-09-05,Nicholls St,Kansas St,False,,unmatched,,
Massey Games,2026-09-05,Arkansas St,Memphis,True,g56,exact,,
Massey Games,2026-09-05,Indiana St,Purdue,True,g74,exact,,
Massey Games,2026-09-05,Houston Chr,Rice,False,,unmatched,,
Massey Games,2026-09-05,Florida Intl,South Florida,True,g80,exact,,
Massey Games,2026-09-05,Missouri St,Texas A&M,True,g86,exact,,
Massey Games,2026-09-05,Abilene Chr,Texas Tech,False,,unmatched,,
Massey Games,2026-09-05,Idaho St,Utah St,True,g92,exact,,
Massey Games,2026-09-05,Austin Peay,Vanderbilt,True,g93,exact,,
Massey Games,2026-09-05,Charleston So,Ga Southern,True,g41,exact,,
Massey Games,2026-09-05,E Kentucky,Jacksonville St,True,g49,exact,,
Massey Games,2026-09-05,NC A&T,Georgia St,True,g20,date_tolerance,,
Massey Games,2026-09-05,SE Louisiana,South Alabama,False,,unmatched,,
Massey Games,2026-09-05,Merrimack,Delaware,False,,unmatched,,
